TEXTURE PATH,L,T,W,H
graphics/Lami_Phase2.png,0,1882,85,135
graphics/Lami_Phase2.png,85,1882,85,135
graphics/Lami_Phase2.png,170,1882,85,135
graphics/Lami_Phase2.png,255,1882,85,135
graphics/Lami_Phase2.png,340,1882,85,135
graphics/Lami_Phase2.png,425,1882,85,135
graphics/Lami_Phase2.png,510,1882,85,135
graphics/Lami_Phase2.png,595,1882,85,135
graphics/Lami_Phase2.png,680,1882,85,135
graphics/Lami_Phase2.png,765,1882,85,135
graphics/Lami_Phase2.png,850,1882,85,135
graphics/Lami_Phase2.png,935,1882,85,135
graphics/Lami_Phase2.png,1020,1882,85,135
graphics/Lami_Phase2.png,1105,1882,85,135
graphics/Lami_Phase2.png,1190,1882,85,135
graphics/Lami_Phase2.png,1275,1882,85,135
graphics/Lami_Phase2.png,1360,1882,85,135
graphics/Lami_Phase2.png,1445,1882,85,135
graphics/Lami_Phase2.png,1530,1882,85,135
graphics/Lami_Phase2.png,1615,1882,85,135
graphics/Lami_Phase2.png,0,2017,85,135
graphics/Lami_Phase2.png,85,2017,85,135
graphics/Lami_Phase2.png,170,2017,85,135
graphics/Lami_Phase2.png,255,2017,85,135
graphics/Lami_Phase2.png,340,2017,85,135
graphics/Lami_Phase2.png,425,2017,85,135
graphics/Lami_Phase2.png,510,2017,85,135
graphics/Lami_Phase2.png,595,2017,85,135
graphics/Lami_Phase2.png,680,2017,85,135
graphics/Lami_Phase2.png,765,2017,85,135
graphics/Lami_Phase2.png,850,2017,85,135
graphics/Lami_Phase2.png,935,2017,85,135
