TEXTURE PATH,L,T,W,H
graphics/Lami_Phase2.png,0,47,125,293
graphics/Lami_Phase2.png,125,47,125,293
graphics/Lami_Phase2.png,250,47,125,293
graphics/Lami_Phase2.png,375,47,125,293
graphics/Lami_Phase2.png,500,47,125,293
graphics/Lami_Phase2.png,625,47,125,293
graphics/Lami_Phase2.png,750,47,125,293
graphics/Lami_Phase2.png,875,47,125,293
graphics/Lami_Phase2.png,1000,47,125,293
graphics/Lami_Phase2.png,1125,47,125,293
graphics/Lami_Phase2.png,1250,47,125,293
graphics/Lami_Phase2.png,1375,47,125,293
graphics/Lami_Phase2.png,1500,47,125,293
graphics/Lami_Phase2.png,1625,47,125,293
graphics/Lami_Phase2.png,1750,47,125,293
graphics/Lami_Phase2.png,1875,47,125,293
graphics/Lami_Phase2.png,0,340,125,293
graphics/Lami_Phase2.png,125,340,125,293
graphics/Lami_Phase2.png,250,340,125,293
graphics/Lami_Phase2.png,375,340,125,293
graphics/Lami_Phase2.png,500,340,125,293
graphics/Lami_Phase2.png,625,340,125,293
graphics/Lami_Phase2.png,750,340,125,293
graphics/Lami_Phase2.png,875,340,125,293
graphics/Lami_Phase2.png,1000,340,125,293
graphics/Lami_Phase2.png,1125,340,125,293
graphics/Lami_Phase2.png,1250,340,125,293
graphics/Lami_Phase2.png,1375,340,125,293
graphics/Lami_Phase2.png,1500,340,125,293
graphics/Lami_Phase2.png,1625,340,125,293
graphics/Lami_Phase2.png,1750,340,125,293
graphics/Lami_Phase2.png,1875,340,125,293
