TEXTURE PATH,L,T,W,H
graphics/GoblinAttacker.png,3,17,43.625,30
graphics/GoblinAttacker.png,46.625,17,43.625,30
graphics/GoblinAttacker.png,90.25,17,43.625,30
graphics/GoblinAttacker.png,133.875,17,43.625,30
graphics/GoblinAttacker.png,177.5,17,43.625,30
graphics/GoblinAttacker.png,221.125,17,43.625,30
graphics/GoblinAttacker.png,264.75,17,43.625,30
graphics/GoblinAttacker.png,308.375,17,43.625,30
graphics/GoblinAttacker.png,352,17,43.625,30
graphics/GoblinAttacker.png,395.625,17,43.625,30
graphics/GoblinAttacker.png,439.25,17,43.625,30
graphics/GoblinAttacker.png,482.875,17,43.625,30
graphics/GoblinAttacker.png,526.5,17,43.625,30
graphics/GoblinAttacker.png,570.125,17,43.625,30
graphics/GoblinAttacker.png,613.75,17,43.625,30
graphics/GoblinAttacker.png,657.375,17,43.625,30
graphics/GoblinAttacker.png,3,52,43.625,30
graphics/GoblinAttacker.png,46.625,52,43.625,30
graphics/GoblinAttacker.png,90.25,52,43.625,30
graphics/GoblinAttacker.png,133.875,52,43.625,30
graphics/GoblinAttacker.png,177.5,52,43.625,30
graphics/GoblinAttacker.png,221.125,52,43.625,30
graphics/GoblinAttacker.png,264.75,52,43.625,30
graphics/GoblinAttacker.png,308.375,52,43.625,30
graphics/GoblinAttacker.png,352,52,43.625,30
graphics/GoblinAttacker.png,395.625,52,43.625,30
graphics/GoblinAttacker.png,439.25,52,43.625,30
graphics/GoblinAttacker.png,482.875,52,43.625,30
graphics/GoblinAttacker.png,526.5,52,43.625,30
graphics/GoblinAttacker.png,570.125,52,43.625,30
graphics/GoblinAttacker.png,613.75,52,43.625,30
graphics/GoblinAttacker.png,657.375,52,43.625,30
