TEXTURE PATH,L,T,W,H
graphics/SlimeGreen.png,0,12,32,42
graphics/SlimeGreen.png,32,12,32,42
graphics/SlimeGreen.png,64,12,32,42
graphics/SlimeGreen.png,96,12,32,42
graphics/SlimeGreen.png,128,12,32,42
graphics/SlimeGreen.png,160,12,32,42
graphics/SlimeGreen.png,192,12,32,42
graphics/SlimeGreen.png,224,12,32,42
graphics/SlimeGreen.png,256,12,32,42
graphics/SlimeGreen.png,288,12,32,42
graphics/SlimeGreen.png,320,12,32,42
graphics/SlimeGreen.png,352,12,32,42
graphics/SlimeGreen.png,384,12,32,42
graphics/SlimeGreen.png,416,12,32,42
graphics/SlimeGreen.png,448,12,32,42
graphics/SlimeGreen.png,480,12,32,42
graphics/SlimeGreen.png,512,12,32,42
graphics/SlimeGreen.png,544,12,32,42
graphics/SlimeGreen.png,576,12,32,42
graphics/SlimeGreen.png,608,12,32,42
graphics/SlimeGreen.png,640,12,32,42
graphics/SlimeGreen.png,672,12,32,42
graphics/SlimeGreen.png,704,12,32,42
graphics/SlimeGreen.png,736,12,32,42
