TEXTURE PATH,L,T,W,H
graphics/SlimeGreen.png,0,135,45,25
graphics/SlimeGreen.png,45,135,45,25
graphics/SlimeGreen.png,90,135,45,25
graphics/SlimeGreen.png,135,135,45,25
graphics/SlimeGreen.png,180,135,45,25
graphics/SlimeGreen.png,225,135,45,25
graphics/SlimeGreen.png,270,135,45,25
graphics/SlimeGreen.png,315,135,45,25
graphics/SlimeGreen.png,360,135,45,25
graphics/SlimeGreen.png,405,135,45,25
graphics/SlimeGreen.png,450,135,45,25
graphics/SlimeGreen.png,495,135,45,25
graphics/SlimeGreen.png,540,135,45,25
graphics/SlimeGreen.png,585,135,45,25
graphics/SlimeGreen.png,630,135,45,25
graphics/SlimeGreen.png,675,135,45,25
graphics/SlimeGreen.png,0,160,45,25
graphics/SlimeGreen.png,45,160,45,25
graphics/SlimeGreen.png,90,160,45,25
graphics/SlimeGreen.png,135,160,45,25
graphics/SlimeGreen.png,180,160,45,25
graphics/SlimeGreen.png,225,160,45,25
graphics/SlimeGreen.png,270,160,45,25
graphics/SlimeGreen.png,315,160,45,25
graphics/SlimeGreen.png,360,160,45,25
graphics/SlimeGreen.png,405,160,45,25
graphics/SlimeGreen.png,450,160,45,25
graphics/SlimeGreen.png,495,160,45,25
graphics/SlimeGreen.png,540,160,45,25
graphics/SlimeGreen.png,585,160,45,25
graphics/SlimeGreen.png,630,160,45,25
graphics/SlimeGreen.png,675,160,45,25
