TEXTURE PATH,L,T,W,H
graphics/ZombieCrawler.png,10,216,31,23
graphics/ZombieCrawler.png,59,216,31,23
graphics/ZombieCrawler.png,108,216,31,23
graphics/ZombieCrawler.png,157,216,31,23
graphics/ZombieCrawler.png,204,216,34,23
graphics/ZombieCrawler.png,252,216,36,23
graphics/ZombieCrawler.png,298,216,42,23
graphics/ZombieCrawler.png,346,216,44,23
graphics/ZombieCrawler.png,396,216,42,23
graphics/ZombieCrawler.png,447,214,39,25
graphics/ZombieCrawler.png,10,242,31,30
graphics/ZombieCrawler.png,57,248,35,24
graphics/ZombieCrawler.png,105,249,36,23
graphics/ZombieCrawler.png,154,250,36,22
graphics/ZombieCrawler.png,205,249,33,23
graphics/ZombieCrawler.png,256,249,29,23
graphics/ZombieCrawler.png,204,249,31,23
