TEXTURE PATH,L,T,W,H
graphics/ZombieCrawler.png,3,19,31,23
graphics/ZombieCrawler.png,39,19,31,23
graphics/ZombieCrawler.png,75,18,31,24
graphics/ZombieCrawler.png,111,18,30,24
graphics/ZombieCrawler.png,147,18,30,24
graphics/ZombieCrawler.png,183,18,30,24
graphics/ZombieCrawler.png,219,17,30,25
graphics/ZombieCrawler.png,256,17,29,25
graphics/ZombieCrawler.png,292,17,29,25
graphics/ZombieCrawler.png,328,17,29,25
graphics/ZombieCrawler.png,364,18,29,24
graphics/ZombieCrawler.png,400,18,29,24
graphics/ZombieCrawler.png,436,18,29,24
graphics/ZombieCrawler.png,472,18,29,24
graphics/ZombieCrawler.png,4,46,29,24
graphics/ZombieCrawler.png,40,45,29,25
graphics/ZombieCrawler.png,76,45,29,25
graphics/ZombieCrawler.png,111,45,30,25
graphics/ZombieCrawler.png,147,46,30,24
graphics/ZombieCrawler.png,183,46,31,24
