TEXTURE PATH,L,T,W,H
graphics/ZombieCrawler.png,6,88,31,23
graphics/ZombieCrawler.png,47,88,31,23
graphics/ZombieCrawler.png,87,87,32,24
graphics/ZombieCrawler.png,128,87,33,24
graphics/ZombieCrawler.png,168,87,35,24
graphics/ZombieCrawler.png,209,87,35,24
graphics/ZombieCrawler.png,249,87,36,24
graphics/ZombieCrawler.png,290,87,36,24
graphics/ZombieCrawler.png,331,87,36,24
graphics/ZombieCrawler.png,372,87,36,24
graphics/ZombieCrawler.png,413,87,36,24
graphics/ZombieCrawler.png,454,87,36,24
graphics/ZombieCrawler.png,3,114,36,24
graphics/ZombieCrawler.png,44,114,36,24
graphics/ZombieCrawler.png,85,114,36,24
graphics/ZombieCrawler.png,126,114,36,24
graphics/ZombieCrawler.png,76,45,29,25
graphics/ZombieCrawler.png,167,114,36,24
graphics/ZombieCrawler.png,209,114,35,24
graphics/ZombieCrawler.png,250,114,35,24
graphics/ZombieCrawler.png,291,114,35,24
graphics/ZombieCrawler.png,332,114,35,24
graphics/ZombieCrawler.png,373,114,34,24
graphics/ZombieCrawler.png,415,114,33,24
graphics/ZombieCrawler.png,456,114,32,24
graphics/ZombieCrawler.png,6,141,31,24
graphics/ZombieCrawler.png,47,141,31,24
graphics/ZombieCrawler.png,88,141,31,24
graphics/ZombieCrawler.png,129,141,30,24
graphics/ZombieCrawler.png,170,141,30,24
graphics/ZombieCrawler.png,211,141,30,24
graphics/ZombieCrawler.png,253,141,29,24
graphics/ZombieCrawler.png,294,141,29,24
graphics/ZombieCrawler.png,335,141,28,24
graphics/ZombieCrawler.png,377,141,27,24
graphics/ZombieCrawler.png,418,141,26,24
graphics/ZombieCrawler.png,459,141,26,24
graphics/ZombieCrawler.png,8,168,26,24
graphics/ZombieCrawler.png,49,168,26,24
graphics/ZombieCrawler.png,90,169,26,23
graphics/ZombieCrawler.png,131,170,26,22
graphics/ZombieCrawler.png,172,170,24,22
graphics/ZombieCrawler.png,213,170,27,22
graphics/ZombieCrawler.png,254,170,27,22
graphics/ZombieCrawler.png,295,170,27,22
graphics/ZombieCrawler.png,336,170,27,22
graphics/ZombieCrawler.png,376,170,28,22
graphics/ZombieCrawler.png,416,169,30,23
graphics/ZombieCrawler.png,457,169,30,23
