TEXTURE PATH,L,T,W,H
graphics/ZombieWalker.png,0,12,43,50
graphics/ZombieWalker.png,43,12,43,50
graphics/ZombieWalker.png,86,12,43,50
graphics/ZombieWalker.png,129,12,43,50
graphics/ZombieWalker.png,172,12,43,50
graphics/ZombieWalker.png,215,12,43,50
graphics/ZombieWalker.png,258,12,43,50
graphics/ZombieWalker.png,301,12,43,50
graphics/ZombieWalker.png,344,12,43,50
graphics/ZombieWalker.png,387,12,43,50
graphics/ZombieWalker.png,430,12,43,50
graphics/ZombieWalker.png,473,12,43,50
graphics/ZombieWalker.png,516,12,43,50
graphics/ZombieWalker.png,559,12,43,50
graphics/ZombieWalker.png,602,12,43,50
graphics/ZombieWalker.png,645,12,43,50
