TEXTURE PATH,L,T,W,H
graphics/npc1.png,0,13,27,54
graphics/npc1.png,27,13,27,54
graphics/npc1.png,54,13,27,54
graphics/npc1.png,81,13,27,54
graphics/npc1.png,108,13,27,54
graphics/npc1.png,135,13,27,54
graphics/npc1.png,162,13,27,54
graphics/npc1.png,189,13,27,54
graphics/npc1.png,216,13,27,54
graphics/npc1.png,243,13,27,54
graphics/npc1.png,270,13,27,54
graphics/npc1.png,297,13,27,54
graphics/npc1.png,324,13,27,54
graphics/npc1.png,351,13,27,54
graphics/npc1.png,378,13,27,54
graphics/npc1.png,405,13,27,54
graphics/npc1.png,432,13,27,54
graphics/npc1.png,459,13,27,54
graphics/npc1.png,486,13,27,54
graphics/npc1.png,513,13,27,54
graphics/npc1.png,540,13,27,54
graphics/npc1.png,567,13,27,54
graphics/npc1.png,594,13,27,54
