TEXTURE PATH,L,T,W,H
graphics/heroin_sprite.png,0,1185,40,50
graphics/heroin_sprite.png,40,1185,40,50
graphics/heroin_sprite.png,80,1185,40,50
graphics/heroin_sprite.png,120,1185,40,50
graphics/heroin_sprite.png,160,1185,40,50
graphics/heroin_sprite.png,200,1185,40,50
graphics/heroin_sprite.png,240,1185,40,50
graphics/heroin_sprite.png,280,1185,40,50
graphics/heroin_sprite.png,320,1185,40,50
graphics/heroin_sprite.png,360,1185,40,50
graphics/heroin_sprite.png,400,1185,40,50
graphics/heroin_sprite.png,440,1185,40,50
graphics/heroin_sprite.png,480,1185,40,50
graphics/heroin_sprite.png,520,1185,40,50
graphics/heroin_sprite.png,560,1185,40,50
graphics/heroin_sprite.png,600,1185,40,50
graphics/heroin_sprite.png,640,1185,40,50
graphics/heroin_sprite.png,680,1185,40,50
graphics/heroin_sprite.png,720,1185,40,50
graphics/heroin_sprite.png,760,1185,40,50
