TEXTURE PATH,L,T,W,H
graphics/heroin_sprite.png,0,13,31,50
graphics/heroin_sprite.png,31,13,31,50
graphics/heroin_sprite.png,62,13,31,50
graphics/heroin_sprite.png,93,13,31,50
graphics/heroin_sprite.png,124,13,31,50
graphics/heroin_sprite.png,155,13,31,50
graphics/heroin_sprite.png,186,13,31,50
graphics/heroin_sprite.png,217,13,31,50
graphics/heroin_sprite.png,248,13,31,50
graphics/heroin_sprite.png,279,13,31,50
graphics/heroin_sprite.png,310,13,31,50
graphics/heroin_sprite.png,341,13,31,50
graphics/heroin_sprite.png,372,13,31,50
graphics/heroin_sprite.png,403,13,31,50
graphics/heroin_sprite.png,434,13,31,50
graphics/heroin_sprite.png,465,13,31,50
graphics/heroin_sprite.png,496,13,31,50
graphics/heroin_sprite.png,527,13,31,50
graphics/heroin_sprite.png,558,13,31,50
graphics/heroin_sprite.png,589,13,31,50
graphics/heroin_sprite.png,620,13,31,50
graphics/heroin_sprite.png,0,63,31,50
graphics/heroin_sprite.png,31,63,31,50
graphics/heroin_sprite.png,62,63,31,50
graphics/heroin_sprite.png,93,63,31,50
graphics/heroin_sprite.png,124,63,31,50
graphics/heroin_sprite.png,155,63,31,50
graphics/heroin_sprite.png,186,63,31,50
graphics/heroin_sprite.png,217,63,31,50
graphics/heroin_sprite.png,248,63,31,50
graphics/heroin_sprite.png,279,63,31,50
graphics/heroin_sprite.png,310,63,31,50
graphics/heroin_sprite.png,341,63,31,50
graphics/heroin_sprite.png,372,63,31,50
graphics/heroin_sprite.png,403,63,31,50
graphics/heroin_sprite.png,434,63,31,50
graphics/heroin_sprite.png,465,63,31,50
graphics/heroin_sprite.png,496,63,31,50
graphics/heroin_sprite.png,527,63,31,50
graphics/heroin_sprite.png,558,63,31,50
graphics/heroin_sprite.png,589,63,31,50
graphics/heroin_sprite.png,620,63,31,50
graphics/heroin_sprite.png,0,113,31,50
graphics/heroin_sprite.png,31,113,31,50
graphics/heroin_sprite.png,62,113,31,50
graphics/heroin_sprite.png,93,113,31,50
graphics/heroin_sprite.png,124,113,31,50
graphics/heroin_sprite.png,155,113,31,50
graphics/heroin_sprite.png,186,113,31,50
graphics/heroin_sprite.png,217,113,31,50
graphics/heroin_sprite.png,248,113,31,50
graphics/heroin_sprite.png,279,113,31,50
graphics/heroin_sprite.png,310,113,31,50
graphics/heroin_sprite.png,341,113,31,50
graphics/heroin_sprite.png,372,113,31,50
