ID,FPS,"LOOP TYPE(0:Single, 1:Loop)",CLIP PATH
Idle,35,1,data_tables/animations/player/player_animation_Idle.csv
Run,15,1,data_tables/animations/player/player_animation_Run.csv
Jump,10,0,data_tables/animations/player/player_animation_Jump.csv
Falling,15,1,data_tables/animations/player/player_animation_Falling.csv
Landing,12,0,data_tables/animations/player/player_animation_Landing.csv
IdletoRun,12,0,data_tables/animations/player/player_animation_IdletoRun.csv
RuntoIdle,12,0,data_tables/animations/player/player_animation_RuntoIdle.csv
Attack_Twohanded_Standing,25,0,data_tables/animations/player/player_animation_Attack_Twohanded_Standing.csv
Crouch,10,0,data_tables/animations/player/player_animation_Crouch.csv
Crouching,10,0,data_tables/animations/player/player_animation_Crouching.csv
CrouchingtoIdle,10,0,data_tables/animations/player/player_animation_CrouchingtoIdle.csv
Roll,13,0,data_tables/animations/player/player_animation_Roll.csv
Attack_Dagger_Standing,30,0,data_tables/animations/player/player_animation_Attack_Dagger_Standing.csv
DamageTaken,10,1,data_tables/animations/player/player_animation_DamageTaken.csv
