TEXTURE PATH,L,T,W,H
graphics/TestZombieWalker.png,0,244,48,50
graphics/TestZombieWalker.png,48,244,48,50
graphics/TestZombieWalker.png,96,244,48,50
graphics/TestZombieWalker.png,144,244,48,50
graphics/TestZombieWalker.png,192,244,48,50
graphics/TestZombieWalker.png,240,244,48,50
graphics/TestZombieWalker.png,288,244,48,50
graphics/TestZombieWalker.png,336,244,48,50
graphics/TestZombieWalker.png,384,244,48,50
graphics/TestZombieWalker.png,432,244,48,50
graphics/TestZombieWalker.png,480,244,48,50
graphics/TestZombieWalker.png,528,244,48,50
graphics/TestZombieWalker.png,576,244,48,50
