TEXTURE PATH,L,T,W,H
graphics/TestZombieWalker.png,0,12,43,50
graphics/TestZombieWalker.png,43,12,43,50
graphics/TestZombieWalker.png,86,12,43,50
graphics/TestZombieWalker.png,129,12,43,50
graphics/TestZombieWalker.png,172,12,43,50
graphics/TestZombieWalker.png,215,12,43,50
graphics/TestZombieWalker.png,258,12,43,50
graphics/TestZombieWalker.png,301,12,43,50
graphics/TestZombieWalker.png,344,12,43,50
graphics/TestZombieWalker.png,387,12,43,50
graphics/TestZombieWalker.png,430,12,43,50
graphics/TestZombieWalker.png,473,12,43,50
graphics/TestZombieWalker.png,516,12,43,50
graphics/TestZombieWalker.png,559,12,43,50
graphics/TestZombieWalker.png,602,12,43,50
graphics/TestZombieWalker.png,645,12,43,50
