TEXTURE PATH,L,T,W,H
graphics/TestZombieWalker.png,0,77,43,50
graphics/TestZombieWalker.png,43,77,43,50
graphics/TestZombieWalker.png,86,77,43,50
graphics/TestZombieWalker.png,129,77,43,50
graphics/TestZombieWalker.png,172,77,43,50
graphics/TestZombieWalker.png,215,77,43,50
graphics/TestZombieWalker.png,258,77,43,50
graphics/TestZombieWalker.png,301,77,43,50
graphics/TestZombieWalker.png,344,77,43,50
graphics/TestZombieWalker.png,387,77,43,50
graphics/TestZombieWalker.png,430,77,43,50
graphics/TestZombieWalker.png,473,77,43,50
graphics/TestZombieWalker.png,516,77,43,50
graphics/TestZombieWalker.png,559,77,43,50
graphics/TestZombieWalker.png,602,77,43,50
graphics/TestZombieWalker.png,645,77,43,50
graphics/TestZombieWalker.png,0,127,43,50
graphics/TestZombieWalker.png,43,127,43,50
graphics/TestZombieWalker.png,86,127,43,50
graphics/TestZombieWalker.png,129,127,43,50
graphics/TestZombieWalker.png,172,127,43,50
graphics/TestZombieWalker.png,215,127,43,50
graphics/TestZombieWalker.png,258,127,43,50
graphics/TestZombieWalker.png,301,127,43,50
graphics/TestZombieWalker.png,344,127,43,50
graphics/TestZombieWalker.png,387,127,43,50
graphics/TestZombieWalker.png,430,127,43,50
graphics/TestZombieWalker.png,473,127,43,50
graphics/TestZombieWalker.png,516,127,43,50
graphics/TestZombieWalker.png,559,127,43,50
graphics/TestZombieWalker.png,602,127,43,50
graphics/TestZombieWalker.png,645,127,43,50
graphics/TestZombieWalker.png,0,177,43,50
graphics/TestZombieWalker.png,43,177,43,50
graphics/TestZombieWalker.png,86,177,43,50
graphics/TestZombieWalker.png,129,177,43,50
graphics/TestZombieWalker.png,172,177,43,50
graphics/TestZombieWalker.png,215,177,43,50
graphics/TestZombieWalker.png,258,177,43,50
graphics/TestZombieWalker.png,301,177,43,50
graphics/TestZombieWalker.png,344,177,43,50
graphics/TestZombieWalker.png,387,177,43,50
graphics/TestZombieWalker.png,430,177,43,50
graphics/TestZombieWalker.png,473,177,43,50
graphics/TestZombieWalker.png,516,177,43,50
graphics/TestZombieWalker.png,559,177,43,50
graphics/TestZombieWalker.png,602,177,43,50
graphics/TestZombieWalker.png,645,177,43,50
