TEXTURE PATH,L,T,W,H
graphics/title.png,0,1593,50,40
graphics/title.png,50,1593,50,40
graphics/title.png,100,1593,50,40
graphics/title.png,150,1593,50,40
graphics/title.png,200,1593,50,40
graphics/title.png,250,1593,50,40
graphics/title.png,300,1593,50,40
graphics/title.png,350,1593,50,40
graphics/title.png,400,1593,50,40
graphics/title.png,450,1593,50,40
graphics/title.png,500,1593,50,40
graphics/title.png,550,1593,50,40
graphics/title.png,600,1593,50,40
graphics/title.png,650,1593,50,40
graphics/title.png,700,1593,50,40
graphics/title.png,750,1593,50,40
graphics/title.png,800,1593,50,40
graphics/title.png,850,1593,50,40
graphics/title.png,900,1593,50,40
graphics/title.png,950,1593,50,40
graphics/title.png,1000,1593,50,40
graphics/title.png,1050,1593,50,40
graphics/title.png,1100,1593,50,40
graphics/title.png,1150,1593,50,40
