TEXTURE PATH,L,T,W,H
graphics/title.png,0,2067,110,140
graphics/title.png,110,2067,110,140
graphics/title.png,220,2067,110,140
graphics/title.png,330,2067,110,140
graphics/title.png,440,2067,110,140
graphics/title.png,550,2067,110,140
graphics/title.png,660,2067,110,140
graphics/title.png,770,2067,110,140
graphics/title.png,880,2067,110,140
graphics/title.png,990,2067,110,140
graphics/title.png,1100,2067,110,140
graphics/title.png,1210,2067,110,140
graphics/title.png,1320,2067,110,140
graphics/title.png,1430,2067,110,140
graphics/title.png,1540,2067,110,140
graphics/title.png,1650,2067,110,140
graphics/title.png,1760,2067,110,140
graphics/title.png,1870,2067,110,140
graphics/title.png,0,2207,110,140
graphics/title.png,110,2207,110,140
graphics/title.png,220,2207,110,140
graphics/title.png,330,2207,110,140
graphics/title.png,440,2207,110,140
graphics/title.png,550,2207,110,140
