"resourceType","resourceId","rotate","scaleX","scaleY","posX","posY"
"terrainInput","SewerBossOneWayCorner",0,32,32,752,80
"terrainInput","SewerBossOneWayCorner",0,32,32,752,80
"terrainInput","SewerBossOneWayCorner",0,32,32,48,80
"terrainInput","SewerBossOneWayCorner",0,32,32,48,80
"terrainInput","SewerBossOneWayCorner",0,32,32,80,80
"terrainInput","SewerBossOneWayCorner",0,32,32,112,80
"terrainInput","SewerBossOneWayCorner",0,32,32,144,80
"terrainInput","SewerBossOneWayCorner",0,32,32,176,80
"terrainInput","SewerBossOneWayCorner",0,32,32,208,80
"terrainInput","SewerBossOneWayCorner",0,32,32,240,80
"terrainInput","SewerBossOneWayCorner",0,32,32,272,80
"terrainInput","SewerBossOneWayCorner",0,32,32,304,80
"terrainInput","SewerBossOneWayCorner",0,32,32,336,80
"terrainInput","SewerBossOneWayCorner",0,32,32,368,80
"terrainInput","SewerBossOneWayCorner",0,32,32,400,80
"terrainInput","SewerBossOneWayCorner",0,32,32,432,80
"terrainInput","SewerBossOneWayCorner",0,32,32,464,80
"terrainInput","SewerBossOneWayCorner",0,32,32,496,80
"terrainInput","SewerBossOneWayCorner",0,32,32,528,80
"terrainInput","SewerBossOneWayCorner",0,32,32,560,80
"terrainInput","SewerBossOneWayCorner",0,32,32,592,80
"terrainInput","SewerBossOneWayCorner",0,32,32,624,80
"terrainInput","SewerBossOneWayCorner",0,32,32,656,80
"terrainInput","SewerBossOneWayCorner",0,32,32,688,80
"terrainInput","SewerBossOneWayCorner",0,32,32,720,80
"terrainInput","SewerBossOneWayCorner",0,32,32,752,80
"terrainInput","SewerOnewayTop0",0,32,32,432,144
"terrainInput","SewerOnewayTop0",0,32,32,432,144
"terrainInput","SewerOnewayTop0",0,32,32,432,176
"terrainInput","SewerOnewayTop0",0,32,32,432,208
"terrainInput","SewerOnewayTop0",0,32,32,464,208
"terrainInput","SewerOnewayTop0",0,32,32,496,240
"terrainInput","SewerOnewayTop0",0,32,32,528,240
"terrainInput","SewerOnewayTop0",0,32,32,560,240
"terrainInput","SewerOnewayTop0",0,32,32,592,240
"terrainInput","SewerOnewayTop0",0,32,32,624,240
"terrainInput","SewerOnewayTop0",0,32,32,624,208
"terrainInput","SewerOnewayTop0",0,32,32,656,208
"terrainInput","SewerOnewayTop0",0,32,32,656,176
"terrainInput","SewerOnewayTop0",0,32,32,656,144
"objectInput","SewerArchLarge",360,128,160,358.968,165.137
"objectInput","SewerArchLarge",360,128,160,483.968,166.137
"objectInput","SewerArchLarge",360,128,160,604.968,167.137
"objectInput","SewerArchLarge",360,128,160,236.968,166.137
"objectInput","m_GoblinAttacker",0,96,96,741.968,173.137
"objectInput","m_LamiPhase2",0,96,96,649.968,220.137
"objectInput","m_SlimeGreen",0,96,96,524.968,172.137
"objectInput","m_ZombieCrawler",0,96,96,384.968,182.137
"objectInput","m_ZombieCrawler",0,96,96,350.968,273.137
"objectInput","p_heroine",0,32,64,92.9678,194.137
"objectInput","SewerPillarSmall",0,32,96,153.968,216.137
"objectInput","SewerPillarSmall",0,32,96,45.9678,220.137
"objectInput","SewerPillarSmall",0,32,96,71.9678,102.137
"backGroundInput","SewerWall",0,96,96,48,48
"backGroundInput","SewerWall",0,96,96,144,48
"backGroundInput","SewerWall",0,96,96,240,48
"backGroundInput","SewerWall",0,96,96,304,48
"backGroundInput","SewerWall",0,96,96,400,48
"backGroundInput","SewerWall",0,96,96,496,48
"backGroundInput","SewerWall",0,96,96,592,48
"backGroundInput","SewerWall",0,96,96,688,48
"backGroundInput","SewerWall",0,96,96,752,48
"backGroundInput","SewerWall",0,96,96,752,144
"backGroundInput","SewerWall",0,96,96,752,208
"backGroundInput","SewerWall",0,96,96,752,272
"backGroundInput","SewerWall",0,96,96,624,272
"backGroundInput","SewerWall",0,96,96,656,272
"backGroundInput","SewerWall",0,96,96,688,176
"backGroundInput","SewerWall",0,96,96,656,112
"backGroundInput","SewerWall",0,96,96,592,144
"backGroundInput","SewerWall",0,96,96,592,208
